Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
76,,657,,0.8947375393322722,,0.9230187551570944,,,0.9738500385245353,0.9735348108478641,0.9735694883535523,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,38
77,,590,,0.8932266171373325,,0.9220429801692702,,,0.9735112484123967,0.973405358798879,0.9730081075626466,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,37
78,,657,,0.8921132326790356,,0.9210734306157407,,,0.9731725761610532,0.97285595869764,0.9728723252019046,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,39
79,,590,,0.8905875913468551,,0.9200997121397912,,,0.972834021729503,0.97272659691641,0.9723113464100406,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,38
80,,657,,0.889496623238789,,0.9191322059776119,,,0.9724955850767578,0.9721775799154316,0.9721756612816582,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,40
81,,657,,0.8879739481958802,,0.9181657171705753,,,0.972157266161844,0.9716288727853546,0.9720399950880072,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,41
82,,590,,0.8868674253881732,,0.9171950726018853,,,0.9718190649438018,0.9714996741711567,0.9714794962353192,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,39
83,,657,,0.8853694794687826,,0.9162306207354679,,,0.9714809813816859,0.9709513496581271,0.9713439271908415,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,42
84,,590,,0.8842471877425074,,0.9152620218659465,,,0.9711430154345659,0.9708222411349624,0.970783829705648,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,40
85,,657,,0.8827726497691178,,0.9142996026471593,,,0.9708051670615246,0.9702742989721793,0.9706483577407765,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,43
86,,590,,0.8816346915530319,,0.9133330451653577,,,0.9704674362216594,0.9701452804772269,0.9700886613356632,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,41
87,,657,,0.8801834366912661,,0.9123726543102573,,,0.9701298228740822,0.9695977203980748,0.9699532863808799,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,44
88,,590,,0.8790299139477202,,0.9114081339138119,,,0.9697923269779188,0.9694687918685572,0.9693939907686366,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,42
89,,657,,0.8776018178953215,,0.9104497671474848,,,0.9694549484923095,0.9689216136066066,0.9692587127544736,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,45
90,,590,,0.8764328321221208,,0.9094872795431008,,,0.9691176873764085,0.9687927749797907,0.968699817648097,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,43
